Serial Number:20294701 --

"Date Time, GMT -0500","Temp, (*F)","Button Down","Button Up","Host Connect","Stopped","EOF"
2018-01-31 09:33:39,87.75, , , , , 
2018-01-31 09:38:39,87.75, , , , , 
2018-01-31 09:43:39,88.06, , , , , 
2018-01-31 09:48:39,87.59, , , , , 
2018-01-31 09:53:39,87.90, , , , , 
2018-01-31 09:58:39,87.98, , , , , 
2018-01-31 10:03:39,87.59, , , , , 
2018-01-31 10:08:39,88.13, , , , , 
2018-01-31 10:13:39,87.59, , , , , 
2018-01-31 10:18:39,87.29, , , , , 
2018-01-31 10:23:39,87.52, , , , , 
2018-01-31 10:28:39,87.05, , , , , 
2018-01-31 10:33:39,87.59, , , , , 
2018-01-31 10:38:39,87.36, , , , , 
2018-01-31 10:43:39,87.21, , , , , 
2018-01-31 10:48:39,87.52, , , , , 
2018-01-31 10:53:39,86.98, , , , , 
2018-01-31 10:58:39,87.44, , , , , 
2018-01-31 11:03:39,87.29, , , , , 
2018-01-31 11:08:39,87.21, , , , , 
2018-01-31 11:13:39,87.67, , , , , 
2018-01-31 11:18:39,87.13, , , , , 
2018-01-31 11:23:39,87.44, , , , , 
2018-01-31 11:28:39,87.36, , , , , 
2018-01-31 11:33:39,87.21, , , , , 
2018-01-31 11:38:39,87.67, , , , , 
2018-01-31 11:43:39,87.13, , , , , 
2018-01-31 11:48:39,87.44, , , , , 
2018-01-31 11:53:39,87.52, , , , , 
2018-01-31 11:58:39,87.21, , , , , 
2018-01-31 12:03:39,87.59, , , , , 
2018-01-31 12:08:39,87.21, , , , , 
2018-01-31 12:13:39,87.52, , , , , 
2018-01-31 12:18:39,87.44, , , , , 
2018-01-31 12:23:39,87.13, , , , , 
2018-01-31 12:28:39,87.67, , , , , 
2018-01-31 12:33:39,87.21, , , , , 
2018-01-31 12:38:39,87.36, , , , , 
2018-01-31 12:43:39,87.59, , , , , 
2018-01-31 12:48:39,87.13, , , , , 
2018-01-31 12:53:39,87.67, , , , , 
2018-01-31 12:58:39,87.36, , , , , 
2018-01-31 13:03:39,87.13, , , , , 
2018-01-31 13:08:39,87.75, , , , , 
2018-01-31 13:13:39,87.29, , , , , 
2018-01-31 13:18:39,87.52, , , , , 
2018-01-31 13:23:39,87.59, , , , , 
2018-01-31 13:28:39,87.21, , , , , 
2018-01-31 13:33:39,87.75, , , , , 
2018-01-31 13:38:39,87.36, , , , , 
2018-01-31 13:43:39,87.52, , , , , 
2018-01-31 13:48:39,87.44, , , , , 
2018-01-31 13:53:39,87.13, , , , , 
2018-01-31 13:58:39,87.75, , , , , 
2018-01-31 14:03:39,87.29, , , , , 
2018-01-31 14:08:39,87.36, , , , , 
2018-01-31 14:13:39,87.52, , , , , 
2018-01-31 14:18:39,87.13, , , , , 
2018-01-31 14:23:39,87.75, , , , , 
2018-01-31 14:28:39,87.29, , , , , 
2018-01-31 14:33:39,87.29, , , , , 
2018-01-31 14:38:39,87.59, , , , , 
2018-01-31 14:43:39,87.13, , , , , 
2018-01-31 14:48:39,87.67, , , , , 
2018-01-31 14:53:39,87.29, , , , , 
2018-01-31 14:58:39,87.44, , , , , 
2018-01-31 15:03:39,87.59, , , , , 
2018-01-31 15:08:39,87.36, , , , , 
2018-01-31 15:13:39,87.83, , , , , 
2018-01-31 15:18:39,87.67, , , , , 
2018-01-31 15:23:39,87.59, , , , , 
2018-01-31 15:28:39,87.90, , , , , 
2018-01-31 15:33:39,87.59, , , , , 
2018-01-31 15:38:39,87.83, , , , , 
2018-01-31 15:43:39,87.52, , , , , 
2018-01-31 15:48:39,87.59, , , , , 
2018-01-31 15:53:39,87.75, , , , , 
2018-01-31 15:58:39,87.36, , , , , 
2018-01-31 16:03:39,87.90, , , , , 
2018-01-31 16:08:39,87.29, , , , , 
2018-01-31 16:13:39,87.75, , , , , 
2018-01-31 16:18:39,87.52, , , , , 
2018-01-31 16:23:39,87.44, , , , , 
2018-01-31 16:28:39,87.83, , , , , 
2018-01-31 16:33:39,87.36, , , , , 
2018-01-31 16:36:24, ,Logged,Logged, , , 
2018-01-31 16:36:41, , , ,Logged, , 
2018-01-31 16:38:39,87.98, , , , , 
2018-01-31 16:43:39,88.83, , , , , 
2018-01-31 16:48:39,88.91, , , , , 
2018-01-31 16:53:39,88.44, , , , , 
2018-01-31 16:58:39,88.91, , , , , 
2018-01-31 17:03:39,88.98, , , , , 
2018-01-31 17:08:39,88.37, , , , , 
2018-01-31 17:13:39,88.68, , , , , 
2018-01-31 17:18:39,89.06, , , , , 
2018-01-31 17:23:39,88.29, , , , , 
2018-01-31 17:28:39,88.52, , , , , 
2018-01-31 17:33:39,88.98, , , , , 
2018-01-31 17:38:39,88.98, , , , , 
2018-01-31 17:43:39,88.21, , , , , 
2018-01-31 17:48:39,88.37, , , , , 
2018-01-31 17:53:39,88.68, , , , , 
2018-01-31 17:58:39,88.91, , , , , 
2018-01-31 18:03:39,89.06, , , , , 
2018-01-31 18:08:39,88.68, , , , , 
2018-01-31 18:13:39,88.29, , , , , 
2018-01-31 18:18:39,88.44, , , , , 
2018-01-31 18:23:39,88.75, , , , , 
2018-01-31 18:28:39,88.98, , , , , 
2018-01-31 18:33:39,88.60, , , , , 
2018-01-31 18:38:39,88.29, , , , , 
2018-01-31 18:43:39,88.68, , , , , 
2018-01-31 18:48:39,88.91, , , , , 
2018-01-31 18:53:39,88.37, , , , , 
2018-01-31 18:58:39,88.44, , , , , 
2018-01-31 19:03:39,88.91, , , , , 
2018-01-31 19:08:39,88.37, , , , , 
2018-01-31 19:13:39,88.37, , , , , 
2018-01-31 19:18:39,88.75, , , , , 
2018-01-31 19:23:39,88.29, , , , , 
2018-01-31 19:28:39,88.29, , , , , 
2018-01-31 19:33:39,88.68, , , , , 
2018-01-31 19:38:39,88.13, , , , , 
2018-01-31 19:43:39,88.29, , , , , 
2018-01-31 19:48:39,88.68, , , , , 
2018-01-31 19:53:39,87.90, , , , , 
2018-01-31 19:58:39,88.29, , , , , 
2018-01-31 20:03:39,88.37, , , , , 
2018-01-31 20:08:39,87.90, , , , , 
2018-01-31 20:13:39,88.52, , , , , 
2018-01-31 20:18:39,88.06, , , , , 
2018-01-31 20:23:39,87.98, , , , , 
2018-01-31 20:28:39,88.44, , , , , 
2018-01-31 20:33:39,87.83, , , , , 
2018-01-31 20:38:39,88.21, , , , , 
2018-01-31 20:43:39,88.21, , , , , 
2018-01-31 20:48:39,87.83, , , , , 
2018-01-31 20:53:39,88.44, , , , , 
2018-01-31 20:58:39,87.90, , , , , 
2018-01-31 21:03:39,88.06, , , , , 
2018-01-31 21:08:39,88.44, , , , , 
2018-01-31 21:13:39,87.75, , , , , 
2018-01-31 21:18:39,88.37, , , , , 
2018-01-31 21:23:39,88.06, , , , , 
2018-01-31 21:28:39,87.98, , , , , 
2018-01-31 21:33:39,88.44, , , , , 
2018-01-31 21:38:39,87.90, , , , , 
2018-01-31 21:43:39,88.06, , , , , 
2018-01-31 21:48:39,88.52, , , , , 
2018-01-31 21:53:39,87.75, , , , , 
2018-01-31 21:58:39,88.13, , , , , 
2018-01-31 22:03:39,88.13, , , , , 
2018-01-31 22:08:39,87.83, , , , , 
2018-01-31 22:13:39,88.44, , , , , 
2018-01-31 22:18:39,87.90, , , , , 
2018-01-31 22:23:39,88.13, , , , , 
