Plot Title: 7B_H,,,,
#,"Date Time, GMT-05:00","Temp, °C (LGR S/N: 10257406, SEN S/N: 10257406)",Stopped (LGR S/N: 10257406),End Of File (LGR S/N: 10257406)
158,1/25/18 21:09,31.064,,
159,1/25/18 21:39,30.76,,
160,1/25/18 22:09,30.862,,
161,1/25/18 22:39,31.064,,
162,1/25/18 23:09,30.76,,
163,1/25/18 23:39,30.963,,
164,1/26/18 0:09,31.064,,
165,1/26/18 0:39,30.76,,
166,1/26/18 1:09,30.862,,
167,1/26/18 1:39,31.064,,
168,1/26/18 2:09,30.76,,
169,1/26/18 2:39,30.963,,
170,1/26/18 3:09,31.064,,
171,1/26/18 3:39,30.76,,
172,1/26/18 4:09,30.963,,
173,1/26/18 4:39,30.963,,
174,1/26/18 5:09,30.76,,
175,1/26/18 5:39,30.963,,
176,1/26/18 6:09,30.963,,
177,1/26/18 6:39,30.76,,
178,1/26/18 7:09,30.76,,
179,1/26/18 7:39,30.862,,
180,1/26/18 8:09,30.963,,
181,1/26/18 8:39,31.064,,
182,1/26/18 9:09,30.963,,
183,1/26/18 9:39,30.862,,
184,1/26/18 10:09,30.76,,
185,1/26/18 10:39,30.862,,
186,1/26/18 11:09,31.064,,
187,1/26/18 11:39,30.963,,
188,1/26/18 12:09,30.76,,
189,1/26/18 12:39,30.76,,
190,1/26/18 13:09,30.862,,
191,1/26/18 13:39,30.963,,
192,1/26/18 14:09,31.064,,
193,1/26/18 14:39,30.862,,
194,1/26/18 15:09,30.76,,
195,1/26/18 15:39,30.963,,
196,1/26/18 16:09,30.963,,
197,1/26/18 16:39,30.862,,
198,1/26/18 17:09,31.064,,
199,1/26/18 17:39,30.862,,
200,1/26/18 18:09,30.862,,
201,1/26/18 18:39,31.064,,
202,1/26/18 19:09,31.064,,
203,1/26/18 19:39,31.166,,
204,1/26/18 20:09,30.963,,
205,1/26/18 20:39,30.76,,
206,1/26/18 21:09,30.963,,
207,1/26/18 21:39,31.064,,
208,1/26/18 22:09,30.862,,
209,1/26/18 22:39,31.064,,
210,1/26/18 23:09,30.76,,
211,1/26/18 23:39,30.963,,
212,1/27/18 0:09,31.064,,
213,1/27/18 0:39,30.76,,
214,1/27/18 1:09,31.064,,
215,1/27/18 1:39,30.76,,
216,1/27/18 2:09,31.064,,
217,1/27/18 2:39,30.862,,
218,1/27/18 3:09,30.862,,
219,1/27/18 3:39,31.064,,
220,1/27/18 4:09,30.862,,
221,1/27/18 4:39,30.76,,
222,1/27/18 5:09,31.064,,
223,1/27/18 5:39,30.862,,
224,1/27/18 6:09,30.862,,
225,1/27/18 6:39,31.064,,
226,1/27/18 7:09,30.862,,
227,1/27/18 7:39,30.862,,
228,1/27/18 8:09,31.064,,
229,1/27/18 8:39,30.76,,
230,1/27/18 9:09,31.064,,
231,1/27/18 9:39,31.064,,
232,1/27/18 10:09,30.862,,
233,1/27/18 10:39,31.064,,
234,1/27/18 11:09,30.862,,
235,1/27/18 11:39,31.166,,
236,1/27/18 12:09,30.963,,
237,1/27/18 12:39,30.862,,
238,1/27/18 13:09,31.166,,
239,1/27/18 13:39,30.862,,
240,1/27/18 14:09,30.963,,
241,1/27/18 14:39,31.064,,
242,1/27/18 15:09,30.862,,
243,1/27/18 15:39,31.166,,
244,1/27/18 16:09,30.862,,
245,1/27/18 16:39,31.064,,
246,1/27/18 17:09,31.064,,
247,1/27/18 17:39,30.862,,
248,1/27/18 18:09,31.166,,
249,1/27/18 18:39,30.862,,
