"Plot Title: 7A_C"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10761949, SEN S/N: 10761949, LBL: Temp)","Stopped (LGR S/N: 10761949)","End Of File (LGR S/N: 10761949)"
423,01/31/18 09:23:27 AM,27.370,,
424,01/31/18 09:53:27 AM,27.370,,
425,01/31/18 10:23:27 AM,26.488,,
426,01/31/18 10:53:27 AM,26.292,,
427,01/31/18 11:23:27 AM,26.781,,
428,01/31/18 11:53:27 AM,26.781,,
429,01/31/18 12:23:27 PM,26.781,,
430,01/31/18 12:53:27 PM,26.781,,
431,01/31/18 01:23:27 PM,26.781,,
432,01/31/18 01:53:27 PM,26.879,,
433,01/31/18 02:23:27 PM,26.879,,
434,01/31/18 02:53:27 PM,26.879,,
435,01/31/18 03:23:27 PM,26.879,,
436,01/31/18 03:53:27 PM,26.683,,
437,01/31/18 04:23:27 PM,26.683,,
438,01/31/18 04:53:27 PM,27.075,,
439,01/31/18 05:23:27 PM,27.173,,
440,01/31/18 05:53:27 PM,26.585,,
441,01/31/18 06:23:27 PM,26.683,,
442,01/31/18 06:53:27 PM,26.097,,
443,01/31/18 07:23:27 PM,26.195,,
444,01/31/18 07:53:27 PM,26.195,,
445,01/31/18 08:23:27 PM,26.292,,
446,01/31/18 08:53:27 PM,26.292,,
447,01/31/18 09:23:27 PM,26.390,,
448,01/31/18 09:53:27 PM,26.292,,
449,01/31/18 10:23:27 PM,26.390,,
450,01/31/18 10:53:27 PM,26.390,,
451,01/31/18 11:23:27 PM,26.488,,
452,01/31/18 11:53:27 PM,26.292,,
453,02/01/18 12:23:27 AM,25.902,,
454,02/01/18 12:53:27 AM,25.805,,
455,02/01/18 01:23:27 AM,25.902,,
456,02/01/18 01:53:27 AM,26.000,,
457,02/01/18 02:23:27 AM,26.195,,
458,02/01/18 02:53:27 AM,26.292,,
459,02/01/18 03:23:27 AM,26.292,,
460,02/01/18 03:53:27 AM,26.292,,
461,02/01/18 04:23:27 AM,26.292,,
462,02/01/18 04:53:27 AM,26.390,,
463,02/01/18 05:23:27 AM,26.390,,
464,02/01/18 05:53:27 AM,26.097,,
465,02/01/18 06:23:27 AM,25.708,,
466,02/01/18 06:53:27 AM,25.805,,
467,02/01/18 07:23:27 AM,26.097,,
468,02/01/18 07:53:27 AM,26.390,,
469,02/01/18 08:23:27 AM,26.488,,
470,02/01/18 08:53:27 AM,26.585,,
471,02/01/18 09:23:27 AM,26.683,,
472,02/01/18 09:53:27 AM,26.781,,
473,02/01/18 10:23:27 AM,26.781,,
474,02/01/18 10:53:27 AM,26.781,,
475,02/01/18 11:23:27 AM,26.781,,
476,02/01/18 11:53:27 AM,26.781,,
477,02/01/18 12:23:27 PM,26.879,,
478,02/01/18 12:53:27 PM,26.977,,
479,02/01/18 01:23:27 PM,26.585,,
480,02/01/18 01:53:27 PM,26.097,,
481,02/01/18 02:23:27 PM,26.097,,
482,02/01/18 02:53:27 PM,26.097,,
483,02/01/18 03:23:27 PM,26.292,,
484,02/01/18 03:53:27 PM,26.488,,
485,02/01/18 04:23:27 PM,26.585,,
486,02/01/18 04:53:27 PM,26.781,,
487,02/01/18 05:23:27 PM,26.879,,
488,02/01/18 05:53:27 PM,26.977,,
489,02/01/18 06:23:27 PM,26.781,,
490,02/01/18 06:53:27 PM,26.488,,
