* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 03-02-2017
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 03-02-2017
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 03-02-2017
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 03-02-2017
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 03-02-2017
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 03-02-2017
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 03-02-2017
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 03-02-2017
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 03-02-2017
* Calibration ROI is expired  = No
* Calibration ROI performed on = 03-02-2017
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 03-02-2017
* Chemistry = TAQMAN
* Date Created = 2018-07-27 11:27:50 AM PDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = D:\Users\INSTR-ADMIN\experiments\Nash\20180723_NS_moteLH06.eds
* Experiment Name = 20180723_NS_moteLH06
* Experiment Run End Time = 2018-07-23 13:52:33 PM PDT
* Experiment Type = Standard Curve
* Instrument Name =       172310454
* Instrument Serial Number = 172310454
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	THOLDFAIL	CQCONF	EXPFAIL	HIGHSD	NOAMP
32	C8	false	Sample 11	C	UNKNOWN	VIC	NFQ-MGB	31.306	31.329	0.032								true	0.040	true	3	28	Amp		0.897	Y	N	N	N	N
32	C8	false	Sample 11	D	UNKNOWN	FAM	NFQ-MGB	34.339	34.133	0.292								true	0.126	true	3	29	Amp		0.921	N	N	N	N	N
33	C9	false	Sample 19	Ssid	UNKNOWN	SYBR	None	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	Y	N	Y
34	C10	false	Sample 19	Ssid	UNKNOWN	SYBR	None	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	Y	N	Y
35	C11	false	Sample 19	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	Y	N	Y
35	C11	false	Sample 19	D	UNKNOWN	FAM	NFQ-MGB	30.676	31.069	0.555								true	0.126	true	3	26	Amp		0.964	N	N	N	Y	N
36	C12	false	Sample 19	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	Y	N	Y
36	C12	false	Sample 19	D	UNKNOWN	FAM	NFQ-MGB	31.462	31.069	0.555								true	0.126	true	3	26	Amp		0.956	N	N	N	Y	N
37	D1	false	Sample 4	Ssid	UNKNOWN	SYBR	None	29.384	29.473	0.127								true	0.040	true	3	26	Amp		0.987	Y	N	N	N	N
38	D2	false	Sample 4	Ssid	UNKNOWN	SYBR	None	29.563	29.473	0.127								true	0.040	true	3	26	Amp		0.972	Y	N	N	N	N
39	D3	false	Sample 4	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	Y	N	Y
39	D3	false	Sample 4	D	UNKNOWN	FAM	NFQ-MGB	31.969	32.064	0.134								true	0.126	true	3	27	Amp		0.959	N	N	N	N	N
40	D4	false	Sample 4	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	Y	N	Y
40	D4	false	Sample 4	D	UNKNOWN	FAM	NFQ-MGB	32.158	32.064	0.134								true	0.126	true	3	27	Amp		0.956	N	N	N	N	N
41	D5	false	Sample 12	Ssid	UNKNOWN	SYBR	None	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	Y	N	Y
42	D6	false	Sample 12	Ssid	UNKNOWN	SYBR	None	Undetermined										true	0.040	true	3	39	No Amp		0.000	Y	Y	Y	N	N
43	D7	false	Sample 12	C	UNKNOWN	VIC	NFQ-MGB	32.906	32.520	0.546								true	0.040	true	3	29	Amp		0.932	Y	N	N	Y	N
43	D7	false	Sample 12	D	UNKNOWN	FAM	NFQ-MGB	33.685	33.329	0.504								true	0.126	true	3	28	Amp		0.950	N	N	N	Y	N
44	D8	false	Sample 12	C	UNKNOWN	VIC	NFQ-MGB	32.134	32.520	0.546								true	0.040	true	3	29	Amp		0.903	Y	N	N	Y	N
44	D8	false	Sample 12	D	UNKNOWN	FAM	NFQ-MGB	32.972	33.329	0.504								true	0.126	true	3	28	Amp		0.949	N	N	N	Y	N
